original,filter1,filter2
1707.0,1707.521060848331,1706.7200079418105
1709.0,1707.6548214179343,1707.7978562295957
1707.0,1708.0821729673235,1707.901200860943
1707.0,1707.473436844174,1707.8274909541155
1707.0,1706.8143284724742,1707.3852904518699
1708.0,1707.211664298207,1706.9499226138826
1706.0,1707.3247494166435,1707.098619655194
1706.0,1706.3778977101408,1707.0786112205199
1708.0,1706.3584953712227,1706.5258850043278
1709.0,1707.9854155350135,1706.7171397214663
1708.0,1708.8674241065282,1708.0176518306905
1707.0,1708.0025022985917,1708.724690519206
1708.0,1707.2653871143511,1708.0373367432107
1710.0,1708.292463892249,1707.531730095708
1709.0,1709.5905057390562,1708.4156006219835
1708.0,1709.1213940043526,1709.4261484950612
1709.0,1708.3128987948692,1709.1430858859605
1707.0,1708.100492425194,1708.296485721922
1706.0,1707.0676353976605,1707.6813072333516
1706.0,1705.9325056939738,1706.8268430409553
1706.0,1705.8168227251006,1705.9310478211828
1706.0,1706.0115801921481,1705.7344565339713
1708.0,1706.6172146893628,1706.1457404584876
1707.0,1707.462479247204,1706.838858064018
1707.0,1707.358568795164,1707.4103889832809
1708.0,1707.2135443246252,1707.4356950423908
1707.0,1707.5242657584643,1707.3132560054555
1709.0,1707.8420412426703,1707.5415281744017
1710.0,1708.9603027481173,1708.1672233735874
1710.0,1710.0773539698605,1709.203371497177
1711.0,1710.4712770657122,1710.1932812439663
1713.0,1711.4511942510458,1710.86044896473
1712.0,1712.5551806081155,1711.703357021555
1708.0,1711.2154805238633,1712.1302114013852
1708.0,1708.3900274410191,1710.6966071722663
1709.0,1707.7412039800113,1708.3858333810654
1708.0,1708.518868308143,1707.651945556941
1710.0,1708.9230820336938,1708.4323123440333
1709.0,1709.3754423665607,1709.1552763886418
1713.0,1710.4776631307047,1709.72759760976
1712.0,1712.1574096806248,1710.8737022125815
1712.0,1712.5540849325832,1712.1984966415223
1734.0,1718.4166435823986,1714.4433132094377
1742.0,1733.5790322471773,1722.2073660792958
1745.0,1744.5817981746359,1735.6438772899478
1746.0,1746.3737418379055,1745.7228564405275
1745.0,1745.6575385272408,1747.4800763090298
1731.0,1740.956691318439,1744.4792565679018
1731.0,1732.585669034126,1738.7624860077403
1732.0,1729.5845950612938,1732.1178734696846
1736.0,1732.778194736308,1729.8242958270623
1733.0,1735.050456939557,1732.621634456895
1739.0,1735.674094736159,1735.46425351909
1739.0,1737.9202751459381,1736.6730458515058
1738.0,1739.2777419101255,1738.0813636378814
1737.0,1738.0136786224405,1738.9568087269558
1739.0,1737.4878809278339,1738.2182986956254
1739.0,1738.583439557045,1737.7107370343247
1738.0,1738.9665453981243,1738.4374152341425
1734.0,1737.0212179412206,1738.5000257264305
1736.0,1734.905234838846,1736.7282530184364
1732.0,1734.0674273886832,1734.6628352113119
1733.0,1732.9660065994788,1733.5336913254432
1731.0,1731.9381787573584,1732.696431710887
1733.0,1731.8342594702133,1731.9350386291044
1733.0,1732.5963932859786,1731.9399951808914
1733.0,1733.2000094544953,1732.6634350620795
1735.0,1733.6550344020234,1733.3726723652755
1734.0,1734.4301498968816,1733.9189183025965
1734.0,1734.352079958322,1734.3616921296566
1734.0,1733.9261979454018,1734.3245269510426
1733.0,1733.6466994104178,1733.8943536840868
1735.0,1733.7197692118934,1733.6336674652637
1734.0,1734.353510016797,1733.8540319869137
1733.0,1734.04808000205,1734.2019387087103
1733.0,1733.0606676135467,1733.8816253653206
1734.0,1733.1130711193657,1733.1694114745665
1733.0,1733.5753775207359,1733.1012658360773
1734.0,1733.566386500569,1733.5069904637198
1733.0,1733.4870672620377,1733.6255899320654
1735.0,1733.7815030960326,1733.5931193072806
1736.0,1734.9666850011045,1734.0691470497675
1736.0,1736.087740673742,1735.1835694779156
1738.0,1736.7630752630303,1736.3035279029812
1736.0,1737.1565189555831,1736.9515116799632
1736.0,1736.4548634207135,1736.9821219454038
1736.0,1735.801572717505,1736.3838177821067
1738.0,1736.5077442126872,1735.9971997512375
1737.0,1737.4985108334536,1736.6123626090925
1738.0,1737.6702441784164,1737.5162058000142
1737.0,1737.500255500586,1737.7516598977477
1737.0,1737.1778974980002,1737.4528909198757
1738.0,1737.2070629442164,1737.182414267771
1739.0,1738.1410504900214,1737.4299017888168
1740.0,1739.3076193658098,1738.37364795737
1740.0,1740.026052093565,1739.4985287305449
1742.0,1740.7045801738047,1740.297872021637
1745.0,1742.6315691367217,1741.2771716141187
1746.0,1745.1511910923755,1743.205546445546
1746.0,1746.285038149493,1745.4099836824662
1745.0,1745.8527393660088,1746.3546818990742
1744.0,1744.7795223098806,1745.740983615798
1742.0,1743.3892269610647,1744.4163975684178
1741.0,1741.8160025842749,1742.9321506380968
1739.0,1740.2971802418424,1741.3857793270029
1739.0,1739.1026367775205,1739.9400698791515
1739.0,1738.7774390561844,1738.9655369186162
1740.0,1739.2752835317874,1738.81902662131
1740.0,1739.91686507749,1739.3705272619334
1739.0,1739.8314484693813,1739.8922915486396
1738.0,1738.842690822435,1739.6459475816569
1737.0,1737.685773120229,1738.6133548681107
1736.0,1736.683844237391,1737.3948555260672
1737.0,1736.2965534963635,1736.5328158944058
1737.0,1736.7613505344052,1736.3576853915529
1739.0,1737.706478776843,1736.9412466322367
1740.0,1739.091198306684,1738.0666484432104
1740.0,1740.1006128118993,1739.350147400426
1741.0,1740.448818938371,1740.2559224764425
1743.0,1741.447203664642,1740.8277540759946
1742.0,1742.5590338135962,1741.6848225983463
1743.0,1742.680631294314,1742.5660420224713
1741.0,1742.1969781800506,1742.6742112605311
1741.0,1741.2974356942198,1742.0118456587454
1745.0,1741.9662038872864,1741.5205659145702
1745.0,1744.463686728501,1742.493991116913
1746.0,1745.8134103408054,1744.632475533788
1746.0,1745.9706964664683,1746.0336757875252
1748.0,1746.6178001619473,1746.3437631242678
1749.0,1748.0552802231973,1746.9495159382172
1746.0,1748.2371480003899,1747.9811698094472
1747.0,1746.8189425379073,1747.9894201340599
1749.0,1747.0806321792718,1747.1115657474654
1745.0,1747.6168509869842,1747.0051165480627
1746.0,1746.1074860487238,1747.1044066206412
1746.0,1745.429
