value,filter,filter
3590,3589.997504,-0.001663548
3590,3589.996271,0.019481859
3590.4,3589.991011,0.416928959
3590.4,3589.983129,0.391960816
3591,3589.974197,0.933650176
3591.4,3589.966053,1.219623877
3590.6,3589.960603,0.338619177
3592,3589.959441,1.627730939
3590.4,3589.963824,-0.062417102
3592.8,3589.974792,2.206045487
3590.6,3589.993308,-0.127689733
3593,3590.02019,2.136644811
3593.8,3590.056638,2.616582459
3593.8,3590.104885,2.270030933
3591.4,3590.166791,-0.305940778
3591.2,3590.241876,-0.509317409
3593.2,3590.328004,1.381285295
3591.2,3590.423284,-0.717943527
3593,3590.52618,1.004635735
3591.2,3590.635026,-0.864451298
3592.8,3590.748084,0.686489034
3591.4,3590.863648,-0.768145259
3591.2,3590.979811,-0.918387826
3591.2,3591.094168,-0.85607657
3591.2,3591.204258,-0.794389338
3591.4,3591.308089,-0.545699375
3592.6,3591.404493,0.617491377
3592.6,3591.493517,0.512533616
3592.6,3591.576075,0.416761382
3592.6,3591.653171,0.329692055
3592.6,3591.725597,0.250856759
3592.6,3591.793969,0.179800245
3592.6,3591.858755,0.116080792
3592.6,3591.920303,0.059270124
3592.6,3591.978863,0.008953336
3591.8,3592.034431,-0.786544485
3591.4,3592.086371,-1.106309384
3591.2,3592.133364,-1.191753794
3592,3592.174037,-0.318377363
3591.2,3592.207557,-1.047365803
3591.2,3592.233363,-0.930080783
3591.2,3592.250833,-0.818386005
3591,3592.259459,-0.900064445
3591,3592.258936,-0.775834362
3590.2,3592.24897,-1.409832977
3591,3592.229209,-0.45372944
3591.2,3592.199722,-0.168204064
3590,3592.161098,-1.227376273
3590,3592.113627,-1.022768356
3590,3592.057111,-0.831807192
3590,3591.991475,-0.654081655
3590.2,3591.917068,-0.301355624
3591.4,3591.834923,0.954469749
3590.4,3591.746901,-0.007754991
3590.2,3591.654895,-0.101758932
3591.6,3591.560424,1.32189865
3591.6,3591.465477,1.255991253
3591.6,3591.372655,1.191363511
3591.6,3591.284396,1.128058475
3590.2,3591.20232,-0.248609098
3590.8,3591.126872,0.419501408
3591.2,3591.057912,0.819908951
3591.6,3590.995718,1.168934038
3591.6,3590.94109,1.094187112
3591,3590.89476,0.458190977
3591.6,3590.85698,1.022135879
3591.6,3590.827781,0.949578703
3591.2,3590.807182,0.503821523
3591,3590.794825,0.295534732
3590.8,3590.789791,0.110305336
3591.2,3590.790914,0.510192113
3591.2,3590.797205,0.483957808
3591,3590.807922,0.269827325
3591.4,3590.82239,0.642766708
3590.8,3590.839961,0.028018853
3591.6,3590.860013,0.800539384
3591,3590.882051,0.161197317
3591.6,3590.905726,0.723013189
3591.8,3590.930903,0.837303789
3591.6,3590.957742,0.555895018
3592,3590.986496,0.86653887
3590.2,3591.017039,-0.932617469
3592.2,3591.048645,1.055514629
3592.2,3591.080883,0.922133223
3592.4,3591.114312,0.984564343
3592.4,3591.149846,0.843359015
3592,3591.18812,0.335584353
3591.6,3591.22918,-0.11619856
3592.2,3591.272519,0.423815411
3591,3591.317383,-0.795010965
3592.4,3591.362894,0.576143254
3591.2,3591.408267,-0.662040994
3592.6,3591.452996,0.69109059
3592.6,3591.497062,0.563076045
3592.6,3591.541052,0.444380821
3592.8,3591.585696,0.522485796
3592.8,3591.631599,0.397818617
3593.8,3591.679469,1.222055745
3593.6,3591.730377,0.81081902
3593,3591.785379,0.064113941
3595,3591.845221,1.84427487
3595,3591.911126,1.519609307
3592.4,3591.984379,-1.22272655
3595,3592.064952,1.248038224
3595,3592.15248,0.972950579
3594.4,3592.247349,0.156279972
3595,3592.349803,0.558283803
3595,3592.459643,0.34159724
3595,3592.576589,0.144249684
3595.2,3592.700199,0.153183004
3595,3592.82982,-0.219521939
3595,3592.964554,-0.362562977
