value,filter,filter
3589.8,3591.608327,0.634156576
3590,3591.544949,0.830141698
3591.8,3591.480945,2.500008779
3592.2,3591.416727,2.639629197
3592.2,3591.352873,2.367192102
3592.6,3591.290004,2.484075302
3591.6,3591.228692,1.2524996
3592.6,3591.169422,2.033341104
3593.2,3591.112648,2.328922896
3592.2,3591.058851,1.066945808
3593.4,3591.00847,2.008884039
3594.6,3590.961952,2.821090966
3593.4,3590.919819,1.258479379
3594.4,3590.882573,1.932471673
3594.8,3590.85066,1.944080132
3592.4,3590.824457,-0.695002883
3593.2,3590.804141,-0.017727131
3594.2,3590.789728,0.762005621
3594,3590.781278,0.311494067
3594.2,3590.778896,0.281802639
3594,3590.782659,-0.127892604
3594.2,3590.792587,-0.118415426
3594.2,3590.808656,-0.302769562
3594.4,3590.830815,-0.281008593
3594.6,3590.858996,-0.26538786
3594.6,3590.893127,-0.443052685
3594.6,3590.933113,-0.601955582
3592.6,3590.978768,-2.621194929
3592,3591.029682,-3.072782768
3592.8,3591.085241,-2.137855048
3591,3591.144761,-3.742864741
3593.4,3591.207564,-1.189410332
3593.4,3591.273085,-1.185010613
3593.2,3591.340947,-1.362358898
3593.2,3591.410833,-1.32273999
3591,3591.482353,-3.345580082
3593.2,3591.555,-0.973730665
3593,3591.628296,-1.129152719
3593,3591.701908,-1.070321484
3593.2,3591.775575,-0.822721823
3593.4,3591.849067,-0.598083315
3592,3591.922161,-1.897741829
3593.6,3591.99459,-0.211911822
3593.6,3592.066134,-0.225283914
3593.8,3592.136692,-0.046655503
3593.8,3592.206229,-0.075633484
3593.6,3592.274717,-0.287468853
3593.6,3592.342114,-0.283314157
3592.8,3592.408331,-1.027735242
3593.6,3592.473232,-0.172824003
3593.6,3592.536691,-0.167495715
3592.8,3592.598617,-0.911408654
3592.8,3592.658878,-0.80788028
3592.8,3592.717287,-0.708840255
3592.6,3592.773651,-0.802134819
3593.6,3592.82781,0.250548751
3592.8,3592.879676,-0.511158633
3592.2,3592.929168,-0.989099642
3593.2,3592.976159,0.101660344
3592,3593.020518,-1.000690915
3592,3593.062105,-0.835936419
3592,3593.100731,-0.681648342
3592.8,3593.136231,0.213714959
3591.2,3593.168495,-1.249054607
3593.2,3593.197434,0.854078512
3591.4,3593.22299,-0.862879982
3591.4,3593.245102,-0.677097514
3592.8,3593.263679,0.809863576
3593,3593.278737,0.991638645
3593,3593.290453,0.959912043
3591.2,3593.29901,-0.762638982
3592.6,3593.304479,0.731899539
3592,3593.306893,0.169205269
3592,3593.30632,0.237959767
3592.8,3593.302852,1.050845322
3592,3593.296624,0.259973395
3592.8,3593.287797,1.06556722
3593,3593.276565,1.206939825
3593,3593.263183,1.136863081
3591,3593.247877,-0.809807675
3591.2,3593.230701,-0.452843369
3591.2,3593.211563,-0.320640436
3591.2,3593.190359,-0.199725407
3591,3593.167019,-0.277419911
3590.6,3593.141471,-0.529634706
3590,3593.113606,-0.933792307
3590.2,3593.083261,-0.52968625
3590,3593.050267,-0.542515714
3590,3593.014485,-0.359362563
3590,3592.975808,-0.192445808
3590,3592.934167,-0.04102195
3590,3592.889531,0.095642536
3590,3592.841906,0.218270461
3589,3592.791302,-0.611518466
3589,3592.737672,-0.396851376
3588,3592.680894,-1.140744198
3587.8,3592.620774,-1.033920759
3588.6,3592.557097,0.010422781
3587.2,3592.489698,-1.131163772
3587.8,3592.418432,-0.247721279
3587.2,3592.343152,-0.589906946
3587,3592.263731,-0.50778247
3587,3592.18005,-0.239761484
3586.4,3592.092005,-0.560974434
3586.2,3591.999491,-0.460260449
3586.2,3591.902399,-0.17589853
3586.4,3591.800662,0.26838554
3587,3591.694306,1.038214973
3587,3591.583483,1.150184774
3587,3591.468443,1.244361763
3587.2,3591.349489,1.509687792
3586.2,3591.226932,0.60893096
3586.2,3591.101031,0.752251601
3587.6,3590.972027,2.190751568
3586.8,3590.840256,1.379715056
3589,3590.706183,3.47370571
3587,3590.570368,1.352057448
3589.8,3590.433428,3.97967033
3586.6,3590.295985,0.633316567
3589.4,3590.158616,3.311953457
3586.6,3590.021822,0.390190532
3586.8,3589.885988,0.626908537
3587,3589.751336,0.829919276
3587,3589.618039,0.813709363
3587.2,3589.486302,0.979735572
3587.2,3589.356344,0.929396958
3588.6,3589.228438,2.190945251
3587.2,3589.102924,0.655528621
3588.6,3588.980156,1.923461488
3588.6,3588.860496,1.709755786
3586.8,3588.744295,-0.185071414
3587,3588.631757,0.019961365
3586.8,3588.522914,-0.178475752
3588.6,3588.417792,1.522580582
3588.6,3588.316558,1.317460912
3588,3588.219488,0.559398509
3588.6,3588.126836,1.009470427
3586.6,3588.038755,-1.04708286
3588.6,3587.955289,0.899056502
3588.6,3587.876476,0.726170683
3588.6,3587.802454,0.563807692
3589.6,3587.733412,1.350870646
3589.6,3587.669585,1.090979558
3589.6,3587.611244,0.848522159
3588.2,3587.55859,-0.691716072
3588,3587.511642,-0.923410256
3589.4,3587.47029,0.376435617
3588,3587.434425,-1.114647759
3589.2,3587.40395,0.01521184
3589.2,3587.378772,-0.120340221
3589,3587.358832,-0.431740473
3589,3587.344063,-0.520208531
3589.4,3587.334367,-0.223488501
3590,3587.329667,0.222993072
3590,3587.329948,0.046962319
3589.4,3587.335208,-0.676783164
3590.8,3587.345413,0.56352716
3591,3587.360569,0.521642053
3591.2,3587.380771,0.476091843
3590.8,3587.406127,-0.135923941
3590,3587.43665,-1.05518221
3590.8,3587.472233,-0.360252766
3589,3587.512673,-2.190958322
3591,3587.557692,-0.224936828
3590,3587.607013,-1.310736599
3591,3587.660414,-0.384223025
3591.2,3587.717719,-0.31919756
3591.2,3587.778809,-0.450858009
3593.8,3587.843658,1.874548867
3594,3587.91244,1.653948583
3593,3587.98548,0.316177462
3593,3588.06302,0.068878796
3594,3588.145174,0.785050275
3594.4,3588.232056,0.842939513
3594.8,3588.323847,0.883129837
3595,3588.420754,0.719393848
3595,3588.522966,0.376844675
3593.6,3588.630572,-1.24789481
3595.6,3588.74353,0.516407363
3594.6,3588.86176,-0.753709709
3595.2,3588.98519,-0.370587176
3595,3589.113707,-0.786015515
3595.2,3589.247155,-0.775553222
3595.2,3589.385348,-0.952851469
3595,3589.52806,-1.294217446
3594,3589.674986,-2.340933825
3594,3589.825686,-2.311138825
3593.8,3589.97961,-2.458564521
3594.6,3590.136191,-1.63372002
3594.2,3590.294913,-2.023081702
3594.8,3590.455315,-1.413926581
3594,3590.616959,-2.182125328
3594.8,3590.779406,-1.341609017
3593,3590.94219,-3.032388407
3593,3591.104748,-2.810441875
3592.4,3591.266397,-3.156461032
3592,3591.426386,-3.248828908
3591,3591.583912,-3.867344678
3591,3591.738107,-3.441901201
3590.8,3591.88809,-3.225011704
3591.4,3592.03305,-2.253784855
3590.8,3592.172292,-2.502063794
3591,3592.305213,-1.945236597
3593,3592.431337,0.25708685
3592,3592.550411,-0.613221452
3592,3592.662326,-0.430397072
3592,3592.766987,-0.25914869
3592,3592.864306,-0.099299311
3591.4,3592.954221,-0.514101864
3591.4,3593.036658,-0.305626821
3591.4,3593.111533,-0.112393782
3594.4,3593.178881,2.883287409
