original,filter
1691,1697.195309
1691,1683.440979
1693,1701.421127
1694,1684.738521
1694,1703.753049
1693,1683.061737
1694,1703.942104
1696,1685.95086
1696,1705.837595
1694,1684.652084
1693,1702.043152
1694,1685.335753
1693,1701.228761
1698,1689.907661
1700,1707.301898
1701,1694.225019
1702,1708.07289
1702,1696.525076
1704,1708.724942
1702,1697.985865
1701,1704.601515
1701,1697.873885
1701,1703.682832
1702,1699.642111
1703,1704.888876
1702,1700.53838
1702,1703.160543
1704,1702.938265
1705,1705.723029
1708,1707.238124
1705,1705.805091
1706,1705.318725
1708,1708.319899
1705,1705.086789
1705,1704.807358
1705,1705.278469
1703,1702.823775
1703,1703.243652
1704,1703.6184
1704,1704.413773
1705,1704.480256
1703,1703.693206
1705,1704.15713
1705,1705.80038
1706,1705.161756
1707,1707.694982
1706,1705.442267
1707,1707.427509
1705,1704.77998
1707,1707.028639
1706,1706.061451
1705,1705.026835
1703,1703.147491
1703,1702.864277
1702,1702.208935
1703,1702.725557
1702,1702.332553
1703,1702.616373
1707,1707.002917
1707,1707.004698
1707,1706.988994
1709,1708.846065
1707,1707.304277
1707,1706.729843
1707,1707.237679
1708,1707.707923
1706,1706.425661
1706,1705.624247
1708,1708.158466
1709,1708.785132
1708,1708.266217
1707,1706.857469
1708,1708.029674
1710,1709.817387
1709,1709.23746
1708,1707.882881
1709,1709.007432
1707,1707.176779
1706,1705.912171
1706,1706.089877
1706,1705.90971
1706,1706.089328
1708,1707.74271
1707,1707.323633
1707,1706.703302
1708,1708.18482
1707,1706.918763
1709,1708.901068
1710,1710.007727
1710,1709.990952
1711,1710.924991
1713,1712.896443
1712,1712.181004
1708,1708.174692
1708,1707.841207
1709,1709.058151
1708,1708.034189
1710,1709.796725
1709,1709.271341
1713,1712.413271
1712,1712.616148
1712,1711.445937
1734,1732.623382
1742,1742.581435
1745,1744.215309
1746,1746.625093
1745,1744.524819
1731,1732.611014
1731,1729.550451
1732,1733.208343
1736,1734.593184
1733,1734.496536
1739,1737.173209
1739,1740.610085
1738,1736.679692
1737,1738.221402
1739,1737.786819
1739,1740.033148
1738,1737.21757
1734,1734.979109
1736,1735.011507
1732,1733.166578
1733,1731.927352
1731,1732.070747
1733,1731.93187
1733,1733.894891
1733,1732.263106
1735,1735.423885
1734,1733.773757
1734,1734.135291
1734,1733.942812
1733,1733.076003
1735,1734.817071
1734,1734.19925
1733,1732.95279
1733,1732.997028
1734,1733.95991
1733,1733.082804
1734,1733.875393
1733,1733.165042
1735,1734.711224
1736,1736.147575
1736,1735.894986
1738,1737.8978
1736,1736.288683
1736,1735.714955
1736,1736.277871
1738,1737.5621
1737,1737.494987
1738,1737.457149
1737,1737.582301
1737,1736.470895
1738,1738.391874
1739,1738.565872
1740,1740.300396
1740,1739.738127
1742,1742.055767
1745,1744.706922
1746,1746.169112
1746,1745.859333
1745,1745.199847
1744,1743.916323
1742,1742.233059
1741,1740.885863
1739,1739.260774
1739,1738.775818
1739,1739.190301
1740,1739.75579
1740,1740.208016
1739,1738.910329
1738,1738.152115
1737,1736.960631
1736,1736.107228
1737,1736.830271
1737,1737.141807
1739,1738.713562
1740,1740.162766
1740,1739.865341
1741,1741.024147
1743,1742.820872
1742,1742.235736
1743,1742.713045
1741,1741.417952
1741,1740.634009
1745,1744.977064
1745,1745.037056
1746,1745.866629
1746,1746.134284
1748,1747.696835
1749,1749.199552
1746,1746.067388
1747,1746.858444
1749,1748.953749
1745,1745.387358
1746,1745.558804
1746,1746.402089
1745,1744.721506
1746,1746.163744
1746,1745.856907
1750,1749.783608
1748,1748.373123
1746,1745.826707
1747,1747.074033
1746,1746.017381
1745,1745.069158
1743,1743.107244
1744,1743.817174
1744,1744.165666
1744,1743.851099
1744,1744.132708
1745,1744.797741
1746,1746.094738
1746,1745.918861
1750,1749.728455
1750,1750.251722
1750,1749.76852
1750,1750.21118
1751,1750.723843
1752,1752.163736
1752,1751.854966
1753,1753.042245
1750,1750.221724
1750,1749.793859
1743,1743.785324
1743,1742.285684
1744,1744.559491
1742,1741.670506
1742,1742.287747
1741,1740.836402
1741,1741.13508
1742,1741.80572
1740,1740.3333
1742,1741.540657
1745,1745.147543
1744,1743.967297
1744,1744.013876
1745,1744.917057
1743,1743.231838
1741,1740.972506
1742,1741.926568
1744,1743.909013
1744,1744.071742
1742,1742.11547
1743,1742.800017
1743,1743.190052
1744,1743.735985
1744,1744.244324
1744,1743.775701
1742,1742.374347
1743,1742.576003
1745,1745.211572
1745,1744.813757
1745,1745.162341
1747,1746.68996
1749,1749.103563
1748,1748.000252
1747,1747.075657
1746,1746.024707
1748,1747.799354
1747,1747.274488
1748,1747.660426
1749,1749.226326
1748,1747.879006
1749,1749.023816
1752,1751.725005
1750,1750.417994
1751,1750.53889
1750,1750.497769
1750,1749.556539
1751,1751.30654
1751,1750.734741
1751,1751.226857
1750,1749.89361
1752,1751.911722
1751,1751.179428
1753,1752.654588
1751,1751.493853
1747,1746.884727
1743,1743.447936
1746,1745.336112
1748,1748.431638
1747,1746.698506
1748,1748.180929
1748,1747.84484
1747,1747.21637
1749,1748.643247
1750,1750.228506
1749,1748.889414
1752,1751.832958
1751,1751.248715
1751,1750.7643
1750,1750.30642
1749,1748.801631
1748,1748.267854
1750,1749.58558
1751,1751.290513
1751,1750.73964
1749,1749.401405
1749,1748.641904
1748,1748.401682
1746,1745.815497
1749,1748.900494
1750,1750.017438
1750,1749.973733
1749,1749.118309
1749,1748
