value,filter
3699.2,3711.0361618697034
3699.2,3711.032820585499
3699.2,3711.029462531058
3699.0,3711.02608773557
3699.0,3711.0226962280617
3699.0,3711.019288037398
3699.2,3711.015863192431
3699.2,3711.0124217221473
3699.8,3711.008963655819
3699.2,3711.005489023051
3699.6,3711.001997853531
3700.0,3710.9984901770313
3699.0,3710.994966023505
3699.6,3710.991425422693
3698.6,3710.987868403872
3699.0,3710.984294995862
3698.6,3710.98070522707
3699.0,3710.9770991257424
3698.6,3710.973476720112
3698.6,3710.969838038302
3699.0,3710.966183108321
3698.6,3710.962511958268
3699.0,3710.958824616329
3699.0,3710.9551211107782
3698.4,3710.951401469924
3698.4,3710.9476657217156
3698.6,3710.943913893693
3698.8,3710.9401460134363
3698.4,3710.9363621087123
3698.4,3710.932562207175
3698.6,3710.92874633627
3698.4,3710.9249145234307
3698.2,3710.921066796033
3698.2,3710.9172031811922
3698.2,3710.9133237058177
3698.2,3710.909428396759
3698.4,3710.905517280904
3698.4,3710.90159038528
3698.2,3710.8976477370015
3698.4,3710.893689363124
3698.4,3710.8897152906925
3698.8,3710.8857255469406
3699.0,3710.881720159487
3699.0,3710.8776991563823
3698.8,3710.873662565865
3699.8,3710.8696104163078
3699.8,3710.8655427366625
3699.0,3710.8614595563613
3700.4,3710.857360904821
3700.6,3710.8532468119347
3700.6,3710.849117308569
3701.0,3710.8449724261645
3701.0,3710.840812196486
3701.8,3710.83663665177
3700.6,3710.832445824627
3702.0,3710.8282397476924
3701.8,3710.82401845387
3701.8,3710.819781976632
3701.8,3710.8155303496223
3701.8,3710.8112636064075
3701.2,3710.806981780377
3702.8,3710.802684904843
3703.0,3710.798373013882
3703.6,3710.79404614288
3703.6,3710.78970432818
3701.8,3710.7853476061387
3701.6,3710.780976011838
3701.8,3710.776589578891
3701.6,3710.772188340387
3701.4,3710.7677723292895
3702.2,3710.763341578486
3702.4,3710.7588961212828
3703.0,3710.754435991801
3703.0,3710.7499612249208
3703.2,3710.745471856035
3703.2,3710.740967920799
3703.2,3710.736449454983
3703.2,3710.7319164943706
3703.4,3710.727369074761
3703.2,3710.7228072320167
3703.2,3710.718231001964
3703.2,3710.7136404202956
3703.2,3710.7090355226187
3703.0,3710.704416344457
3701.8,3710.699782920855
3703.0,3710.695135286077
3701.8,3710.690473474012
3703.2,3710.685797518566
3702.0,3710.681107453762
3703.0,3710.6764033136906
3702.4,3710.67168513246
3702.2,3710.6669529440956
3702.0,3710.662206782195
3702.0,3710.6574466798784
3701.6,3710.6526726699412
3701.4,3710.6478847847516
3701.8,3710.6430830563017
3701.8,3710.6382675166087
3701.8,3710.6334381979113
3701.4,3710.6285951324185
3701.4,3710.6237383520142
3701.2,3710.6188678882086
3701.0,3710.6139837721876
3700.4,3710.609086034666
3700.2,3710.60417470564
3700.0,3710.599249814391
3700.2,3710.5943113897806
3699.8,3710.5893594605036
3699.8,3710.5843940550367
3699.2,3710.5794152014414
3698.8,3710.574422927118
3699.4,3710.569417258855
3699.6,3710.564398223474
3699.4,3710.559365848228
3698.6,3710.5543201603036
3698.8,3710.549261186227
3698.4,3710.5441889519147
3698.0,3710.5391034828244
3698.4,3710.5340048039584
3698.0,3710.528892940107
3698.4,3710.5237679160514
3699.0,3710.5186297568093
3699.4,3710.5134784881297
3699.4,3710.50831413659
3698.6,3710.503136729002
3699.6,3710.497946291913
3699.4,3710.492742851955
3698.6,3710.4875264359425
3699.6,3710.482297070428
3698.6,3710.4770547817966
3699.4,3710.4717995964197
3699.0,3710.466531540655
3699.2,3710.461250640942
3698.6,3710.4559569236058
3698.4,3710.45065041451
3698.0,3710.4453311388606
3698.2,3710.439999121305
3698.0,3710.4346543862334
3698.0,3710.4292969579265
3697.8,3710.423926860506
3697.4,3710.418544117785
3697.2,3710.4131487530726
3698.4,3710.4077407894724
3698.6,3710.4023202507733
3698.4,3710.396887161696
3698.0,3710.3914415471486
3698.4,3710.385983431728
3698.6,3710.380512840021
3698.6,3710.3750297969495
3698.6,3710.3695343276704
3698.6,3710.3640264573773
3698.6,3710.3585062112506
3698.6,3710.3529736144565
3698.6,3710.3474286921482
3699.2,3710.341871469615
3699.0,3710.336301972529
3699.0,3710.330720226845
3699.2,3710.3251262585545
3699.0,3710.319520093679
3698.8,3710.3139017581757
3699.2,3710.3082712778373
3698.6,3710.3026286783934
3698.2,3710.2969739852597
3698.6,3710.291307223292
3698.6,3710.2856284171844
3698.0,3710.279937591669
3698.0,3710.274234771118
3698.0,3710.268519979444
3698.0,3710.262793240402
3698.0,3710.257054577737
3697.8,3710.251304015131
3698.0,3710.245541576157
3697.8,3710.239767284328
3697.8,3710.233981163099
3697.8,3710.2281832358144
3697.6,3710.2223735257107
3698.0,3710.216552055965
3697.4,3710.2107188497453
3697.4,3710.2048739300094
3697.2,3710.1990173193108
3697.4,3710.1931490399475
3697.2,3710.18726911416
3698.0,3710.18137756433
3697.2,3710.1754744131295
3697.2,3710.169559683172
3697.8,3710.1636333968163
3697.4,3710.1576955765604
3698.0,3710.15174624519
3697.4,3710.145785425633
3697.8,3710.1398131408064
3697.8,3710.1338294136176
3698.0,3710.1278342671635
3697.6,3710.1218277246785
3697.4,3710.115809809188
3698.6,3710.10978054361
3698.8,3710.1037399515467
3698.4,3710.0976880574785
3698.4,3710.091624886022
3698.4,3710.0855504615324
3698.6,3710.0794648083
3697.4,3710.0733679504547
3697.6,3710.067259911419
3697.2,3710.0611407138113
3697.0,3710.055010379743
3697.0,3710.048868930923
3696.6,3710.0427163887057
3696.2,3710.0365527739923
3695.8,3710.030378106985
3695.4,3710.024192407092
3696.0,3710.0179956931734
3695.4,3710.0117879839872
3695.4,3710.0055692981946
3695.4,3709.999339654161
3696.6,3709.993099070399
3697.2,3709.986847566461
3696.0,3709.980585162939
3695.6,3709.974311880172
3695.6,3709.9680277374555
3696.8,3709.9617327537853
3695.4,3709.9554269486034
3695.4,3709.949110341201
3695.6,3709.942782950173
3695.6,3709.9364447939142
3695.4,3709.9300958909207
3695.4,3709.9237362595895
3695.4,3709.917365918168
3695.4,3709.9109848848557
3696.8,3709.9045931781984
3695.4,3709.8981908174364
3695.2,3709.8917778217588
3695.2,3709.8853542095117
3696.8,3709.878919998941
3695.2,3709.872475209037
3695.2,3709.8660198587877
3696.0,3709.8595539665853
3697.0,3709.8530775512677
3697.0,3709.8465906330093
3697.6,3709.840093233071
3697.6,3709.8335853733993
3696.0,3709.827067075978
3696.0,3709.820538361743
3696.0,3709.8139992504325
3697.8,3709.8074497618336
3697.8,3709.8008899170654
3697.8,3709.794319738578
3697.8,3709.7877392492555
3697.8,3709.7811484719723
3698.2,3709.774547429688
3697.8,3709.767936145549
3698.4,3709.761314642838
3697.6,3709.7546829448734
3698.0,3709.748041074811
3698.2,3709.7413890556973
3697.4,3709.734726910613
3697.2,3709.7280546622314
3697.2,3709.721372332519
3697.2,3709.714679943086
3698.0,3709.7079775156817
3698.2,3709.7012650726892
3698.4,3709.694542637274
3698.6,3709.687810233134
3698.6,3709.681067884297
3698.8,3709.6743156150246
3698.4,3709.66755344966
3698.4,3709.660781412382
3698.2,3709.653999527058
3698.8,3709.6472078174384
3699.0,3709.6404063076056
3699.8,3709.6335950223715
3699.8,3709.62677398742
3698.2,3709.619943228664
3699.8,3709.6131027714
3699.8,3709.6062526409055
3698.2,3709.5993928628336
3699.8,3709.592523462421
3699.6,3709.5856444648366
3699.4,3709.5787558958236
3699.8,3709.5718577813027
3697.0,3709.564950146578
3699.2,3709.558033015648
3699.2,3709.551106412146
3698.0,3709.5441703603337
3698.0,3709.5372248841077
3698.4,3709.530270006556
3698.0,3709.523305750652
3697.0,3709.5163321391096
3696.8,3709.509349193637
3696.8,3709.502356934939
3697.8,3709.4953553835658
3697.8,3709.48834456075
3698.0,3709.481324488509
3698.0,3709.4742951892435
3697.0,3709.4672566852423
3697.8,3709.4602089982864
3697.8,3709.4531521499935
3698.0,3709.4460861623666
3698.0,3709.439011057745
3698.4,3709.431926858704
3698.0,3709.4248335880516
3697.8,3709.417731268531
3697.6,3709.4106199224757
3698.0,3709.403499571908
3698.0,3709.396370238937
3698.0,3709.389231945904
3698.2,3709.3820847152883
3698.4,3709.374928569751
3698.2,3709.367763532188
3698.4,3709.3605896255785
3698.0,3709.353406872837
3697.8,3709.3462152966135
3697.8,3709.339014919148
3697.2,3709.3318057622682
3697.0,3709.3245878472444
3697.0,3709.317361194742
3696.8,3709.3101258250695
3696.8,3709.3028817583286
3696.4,3709.295629014364
3696.8,3709.2883676127653
3696.8,3709.2810975731145
3696.0,3709.273818914986
3696.0,3709.266531657448
3696.0,3709.259235818971
3695.6,3709.2519314177225
3695.8,3709.2446184716196
3695.2,3709.237296998276
3696.0,3709.2299670151056
3695.4,3709.222628539568
3695.4,3709.2152815891227
3695.0,3709.2079261808776
3695.0,3709.2005623314935
3695.0,3709.193190057333
3695.0,3709.185809374661
3694.0,3709.1784202994954
3693.6,3709.1710228470124
3693.6,3709.1636170313495
3694.4,3709.156202866302
3694.2,3709.14878036612
3694.2,3709.1413495455017
3694.4,3709.133910419251
3693.6,3709.126463002076
3693.0,3709.1190073080934
3693.0,3709.1115433504356
3694.2,3709.104071141897
3693.6,3709.0965906958745
3693.2,3709.089102026121
