original,filter
1696,1694.314564
1696,1695.862046
1694,1695.703389
1693,1693.973417
1694,1693.121958
1693,1693.418775
1698,1694.736435
1700,1697.907334
1701,1700.610192
1702,1701.530618
1702,1701.94556
1704,1702.66632
1702,1703.180913
1701,1702.178571
1701,1700.918708
1701,1700.797789
1702,1701.306841
1703,1702.206267
1702,1702.704714
1702,1702.257503
1704,1702.464877
1705,1704.006072
1708,1706.020745
1705,1706.92789
1706,1705.996441
1708,1706.133692
1705,1706.87929
1705,1705.684169
1705,1704.677565
1703,1704.296829
1703,1703.297962
1704,1703.070393
1704,1703.827557
1705,1704.452389
1703,1704.32248
1705,1703.922382
1705,1704.530458
1706,1705.477783
1707,1706.252134
1706,1706.675385
1707,1706.542527
1705,1706.177016
1707,1705.906917
1706,1706.262522
1705,1706.015971
1703,1704.490492
1703,1703.068328
1702,1702.451379
1703,1702.40249
1702,1702.508342
1703,1702.51673
1707,1703.963035
1707,1706.597635
1707,1707.521061
1709,1707.654821
1707,1708.082173
1707,1707.473437
1707,1706.814328
1708,1707.211664
1706,1707.324749
1706,1706.377898
1708,1706.358495
1709,1707.985416
1708,1708.867424
1707,1708.002502
1708,1707.265387
1710,1708.292464
1709,1709.590506
1708,1709.121394
1709,1708.312899
1707,1708.100492
1706,1707.067635
1706,1705.932506
1706,1705.816823
1706,1706.01158
1708,1706.617215
1707,1707.462479
1707,1707.358569
1708,1707.213544
1707,1707.524266
1709,1707.842041
1710,1708.960303
1710,1710.077354
1711,1710.471277
1713,1711.451194
1712,1712.555181
1708,1711.215481
1708,1708.390027
1709,1707.741204
1708,1708.518868
1710,1708.923082
1709,1709.375442
1713,1710.477663
1712,1712.15741
1712,1712.554085
1734,1718.416644
1742,1733.579032
1745,1744.581798
1746,1746.373742
1745,1745.657539
1731,1740.956691
1731,1732.585669
1732,1729.584595
1736,1732.778195
1733,1735.050457
1739,1735.674095
1739,1737.920275
1738,1739.277742
1737,1738.013679
1739,1737.487881
1739,1738.58344
1738,1738.966545
1734,1737.021218
1736,1734.905235
1732,1734.067427
1733,1732.966007
1731,1731.938179
1733,1731.834259
1733,1732.596393
1733,1733.200009
1735,1733.655034
1734,1734.43015
1734,1734.35208
1734,1733.926198
1733,1733.646699
1735,1733.719769
1734,1734.35351
1733,1734.04808
1733,1733.060668
1734,1733.113071
1733,1733.575378
1734,1733.566387
1733,1733.487067
1735,1733.781503
1736,1734.966685
1736,1736.087741
1738,1736.763075
1736,1737.156519
1736,1736.454863
1736,1735.801573
1738,1736.507744
1737,1737.498511
1738,1737.670244
1737,1737.500256
1737,1737.177897
1738,1737.207063
1739,1738.14105
1740,1739.307619
1740,1740.026052
1742,1740.70458
1745,1742.631569
1746,1745.151191
1746,1746.285038
1745,1745.852739
1744,1744.779522
1742,1743.389227
1741,1741.816003
1739,1740.29718
1739,1739.102637
1739,1738.777439
1740,1739.275284
1740,1739.916865
1739,1739.831448
1738,1738.842691
1737,1737.685773
1736,1736.683844
1737,1736.296553
1737,1736.761351
1739,1737.706479
1740,1739.091198
1740,1740.100613
1741,1740.448819
1743,1741.447204
1742,1742.559034
1743,1742.680631
1741,1742.196978
1741,1741.297436
1745,1741.966204
1745,1744.463687
1746,1745.81341
1746,1745.970696
1748,1746.6178
1749,1748.05528
1746,1748.237148
1747,1746.818943
1749,1747.080632
1745,1747.616851
1746,1746.107486
1746,1745.429699
1745,1745.688665
1746,1745.512062
1746,1745.760523
1750,1747.25529
1748,1748.97002
1746,1748.127772
1747,1746.369105
1746,1746.220718
1745,1745.936672
1743,1744.497665
1744,1743.374826
1744,1743.621721
1744,1744.107263
1744,1744.064902
1745,1744.27449
1746,1745.160437
1746,1746.003158
1750,1747.315619
1750,1749.514177
1750,1750.460567
1750,1750.083354
1751,1750.213872
1752,1751.157272
1752,1752.013558
1753,1752.437483
1750,1751.997674
1750,1750.460474
1743,1747.607001
1743,1743.770238
1744,1742.502457
1742,1743.160741
1742,1742.499578
1741,1741.507955
1741,1741.035606
1742,1741.205742
1740,1741.286784
1742,1740.9647
1745,1742.415262
1744,1744.520775
1744,1744.564791
1745,1744.203542
1743,1744.19599
1741,1742.793505
1742,1741.330334
1744,1742.156749
1744,1743.872256
1742,1743.730465
1743,1742.557451
1743,1742.581779
1744,1743.368823
1744,1743.950435
1744,1744.108293
1742,1743.422718
1743,1742.516954
1745,1743.220366
1745,1744.840237
1745,1745.305337
1747,1745.613197
1749,1747.290758
1748,1748.702404
1747,1748.121687
1746,1746.707914
1748,1746.514656
1747,1747.343007
1748,1747.669058
1749,1748.112722
1748,1748.642567
1749,1748.566446
1752,1749.647112
1750,1751.124639
1751,1750.939226
1750,1750.392829
1750,1750.131748
1751,1750.225494
1751,1750.856075
1751,1751.132884
1750,1750.7318
1752,1750.684307
1751,1751.338909
1753,1751.932844
1751,1752.113425
1747,1750.254163
1743,1746.122675
1746,1743.805635
1748,1745.686059
1747,1747.84096
1748,1747.811223
1748,1747.734394
1747,1747.739496
1749,1747.752678
1750,1748.923375
1749,1749.799793
1752,1750.18472
1751,1751.205923
1751,1751.432773
1750,1750.671776
1749,1749.754175
1748,1748.713169
1750,1748.577711
1751,1749.927892
1751,1751.122706
1749,1750.598158
1749,1749.221588
1748,1748.432906
1746,1747.497515
1749,1747.047045
1750,1748.671999
1750,1750.213754
1749,1749.934956
1749,1749.084646
1750,1749.13248
1748,1749.27837
1748,1748.391484
1748,1747.780666
1746,1747.347046
1747,1746.573166
1748,1746.94045
