original, filter
1745,1746.094947
1744,1745.216554
1742,1743.832755
1741,1742.253973
1739,1740.702107
1739,1739.40494
1739,1738.816337
1740,1739.05941
1740,1739.677634
1739,1739.858487
1738,1739.184543
1737,1738.0738
1736,1736.969031
1737,1736.365145
1737,1736.564896
1739,1737.376676
1740,1738.670397
1740,1739.815791
1741,1740.398859
1743,1741.216321
1742,1742.23051
1743,1742.651781
1741,1742.402285
1741,1741.607882
1745,1741.776328
1745,1743.646707
1746,1745.337739
1746,1746.009516
1748,1746.546342
1749,1747.646029
1746,1748.153847
1747,1747.299875
1749,1747.091443
1745,1747.388214
1746,1746.505834
1746,1745.708513
1745,1745.586665
1746,1745.491195
1746,1745.686348
1750,1746.810017
1748,1748.426462
1746,1748.390607
1747,1747.027971
1746,1746.324889
1745,1745.918763
1743,1744.873502
1744,1743.740487
1744,1743.526485
1744,1743.87584
1744,1744.046841
1745,1744.248194
1746,1744.90883
1746,1745.733242
1750,1746.941382
1750,1748.878967
1750,1750.184673
1750,1750.287758
1751,1750.276745
1752,1750.872206
1752,1751.714117
1753,1752.321771
1750,1752.174883
1750,1750.968756
1743,1748.486101
1743,1744.912861
1744,1742.839162
1742,1742.77257
1742,1742.534309
1741,1741.839588
1741,1741.216381
1742,1741.122126
1740,1741.20933
1742,1741.053439
1745,1742.011617
1744,1743.842221
1744,1744.537625
1745,1744.436135
1743,1744.26246
1741,1743.185296
1742,1741.788402
1744,1741.896281
1744,1743.24254
1742,1743.718895
1743,1743.011586
1743,1742.656938
1744,1743.077533
1744,1743.715544
1744,1744.075519
1742,1743.670463
1743,1742.830579
1745,1743.012679
1745,1744.277293
1745,1745.122089
1747,1745.599777
1749,1746.850304
1748,1748.251729
1747,1748.318149
1746,1747.241984
1748,1746.624733
1747,1747.020516
1748,1747.494209
1749,1748.004895
1748,1748.513995
1749,1748.602121
1752,1749.361284
1750,1750.65742
1751,1750.987722
1750,1750.649401
1750,1750.253132
1751,1750.172948
1751,1750.634058
1751,1751.026724
1750,1750.87496
1752,1750.741989
1751,1751.135715
1753,1751.720389
1751,1752.065917
1747,1750.839678
1743,1747.42688
1746,1744.546726
1748,1744.976998
1747,1746.939407
1748,1747.786889
1748,1747.922358
1747,1747.806468
1749,1747.737116
1750,1748.56047
1749,1749.498018
1752,1750.096387
1751,1750.960202
1751,1751.368807
1750,1750.937505
1749,1750.0784
1748,1749.019104
1750,1748.58932
1751,1749.464218
1751,1750.697963
1749,1750.775975
1749,1749.736928
1748,1748.717979
1746,1747.718623
1749,1747.135716
1750,1748.148865
1750,1749.670255
1749,1750.034059
1749,1749.457439
1750,1749.173123
1748,1749.180972
1748,1748.61983
1748,1747.997791
1746,1747.464667
1747,1746.769752
1748,1746.823928
1749,1747.806311
1749,1748.778436
1751,1749.565013
1751,1750.491606
1755,1751.919416
1752,1753.29845
1749,1752.495592
1748,1749.863157
1750,1748.427896
1750,1749.032716
1750,1749.950405
1749,1749.96451
